Formula,Alpha,Power,p1,p2,User_n,Statsmodels_n,Difference,Rel_difference
Two Proportions (A/B),0.050000000000000044,0.85,0.010065999572197807,0.16829344995099443,54,44.0,10.0,0.18518518518518517
Two Proportions (A/B),0.010000000000000009,0.95,0.14532308333224073,0.3603462646943984,137,140.0,3.0,0.02142857142857143
Two Proportions (A/B),0.09999999999999998,0.95,0.4212758612544411,0.4323836388254302,42912,42915.0,3.0,6.990562740300595e-05
Two Proportions (A/B),0.010000000000000009,0.8,0.373042987514515,0.4747613309360139,546,550.0,4.0,0.007272727272727273
Two Proportions (A/B),0.010000000000000009,0.85,0.18651462021220966,0.27492867326372206,587,588.0,1.0,0.0017006802721088435
Two Proportions (A/B),0.010000000000000009,0.9,0.16354047961672014,0.40233089643176223,99,102.0,3.0,0.029411764705882353
Two Proportions (A/B),0.010000000000000009,0.8,0.22257053559249945,0.4964540473102731,66,70.0,4.0,0.05714285714285714
Two Proportions (A/B),0.09999999999999998,0.8,0.06685111386060295,0.0891157211351805,1791,1785.0,6.0,0.0033500837520938024
Two Proportions (A/B),0.010000000000000009,0.85,0.46578377306482804,0.7206158967625154,91,95.0,4.0,0.042105263157894736
Two Proportions (A/B),0.010000000000000009,0.8,0.07816676595663288,0.1618938672437546,347,342.0,5.0,0.01440922190201729
Two Proportions (A/B),0.010000000000000009,0.8,0.09957554596188123,0.19032297435450723,346,344.0,2.0,0.005780346820809248
Two Proportions (A/B),0.09999999999999998,0.8,0.34129303339306144,0.6250479019483922,36,38.0,2.0,0.05263157894736842
Two Proportions (A/B),0.09999999999999998,0.85,0.2429492378465361,0.43690776236278533,83,85.0,2.0,0.023529411764705882
Two Proportions (A/B),0.010000000000000009,0.95,0.06135595184881033,0.21594148370546595,170,165.0,5.0,0.029411764705882353
Two Proportions (A/B),0.050000000000000044,0.95,0.434251880958954,0.5822825229523342,290,295.0,5.0,0.01694915254237288
Two Proportions (A/B),0.010000000000000009,0.8,0.19066651372374965,0.30791235796003086,313,315.0,2.0,0.006349206349206349
Two Proportions (A/B),0.010000000000000009,0.85,0.10115127000277616,0.2712513857522557,131,130.0,1.0,0.007633587786259542
Two Proportions (A/B),0.010000000000000009,0.85,0.11387708680234244,0.3145095966316797,103,104.0,1.0,0.009615384615384616
Two Proportions (A/B),0.09999999999999998,0.9,0.44127680158152766,0.5138415985426994,808,811.0,3.0,0.0036991368680641184
Two Proportions (A/B),0.010000000000000009,0.95,0.30779853990383405,0.40343596839966556,884,889.0,5.0,0.00562429696287964
Two Proportions (A/B),0.09999999999999998,0.95,0.371912754484842,0.4734446841762135,507,511.0,4.0,0.007827788649706457
Two Proportions (A/B),0.09999999999999998,0.95,0.3594713728084827,0.42724380252775807,1120,1123.0,3.0,0.0026714158504007124
Two Proportions (A/B),0.09999999999999998,0.85,0.031073406414800345,0.23446473797456763,37,34.0,3.0,0.08108108108108109
Two Proportions (A/B),0.010000000000000009,0.8,0.39318751411715397,0.5608911751983627,202,206.0,4.0,0.019417475728155338
Two Proportions (A/B),0.050000000000000044,0.95,0.34714177747964675,0.42728955371034905,954,958.0,4.0,0.0041753653444676405
